Coding Scheme 1 = Absolute
Coding Scheme 2 = Vowel-centric (L-R)
Coding Scheme 3 = Vowel-centric (R-L)
Coding Scheme 4 = Ends-first
Coding Scheme 5 = SOLAR (Spatial Coding)
Coding Scheme 6 = Binary Open Bigram
Coding Scheme 7 = Overlap Open Bigram (OOB)
Coding Scheme 8 = SERIOL_2001 (Open Bigram)


ILW = 1
sigma = 1.25
c = 1.00
Stim1   	Stim2   	Match1	Match2	Match3	Match4	Match5	Match6	Match7	Match8	
abrupt  	abrhupt 	 0.50	 0.67	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
abrupt  	abrqjupt	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
abrupt  	aelwvt  	 0.33	 0.33	 0.33	 0.33	 0.50	 0.00	 0.00	 0.21	
abrupt  	iabrupt 	 0.00	 0.83	 0.83	 0.50	 0.88	 1.00	 1.00	 0.61	
abrupt  	abruptf 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
abrupt  	abryyupt	 0.50	 0.83	 0.83	 1.00	 0.73	 0.58	 0.75	 0.96	
absent  	absent  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
absent  	basent  	 0.67	 0.33	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
absent  	abesnt  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.92	 0.77	 0.95	
absent  	absetn  	 0.67	 0.67	 0.67	 0.67	 0.81	 0.83	 0.83	 0.94	
absent  	abnest  	 0.67	 0.67	 0.67	 0.67	 0.82	 0.67	 0.44	 0.91	
absent  	ansebt  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
absent  	asent   	 0.17	 0.33	 0.83	 0.50	 0.84	 0.67	 0.68	 0.61	
absent  	absen   	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.79	 0.71	
absent  	abnt    	 0.33	 0.33	 0.50	 0.67	 0.57	 0.25	 0.33	 0.57	
absent  	baestn  	 0.00	 0.33	 0.33	 0.00	 0.48	 0.67	 0.44	 0.59	
absent  	entabs  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
absent  	abs     	 0.50	 0.50	 0.17	 0.33	 0.50	 0.25	 0.36	 0.41	
absent  	sbatne  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
absent  	eanbts  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
absent  	atnesb  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
absent  	xbsent  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
absent  	absynt  	 0.83	 0.83	 0.83	 0.83	 0.88	 0.58	 0.58	 0.81	
absent  	absenr  	 0.83	 0.83	 0.83	 0.83	 0.75	 0.75	 0.79	 0.71	
absent  	abeynt  	 0.67	 0.50	 0.67	 0.67	 0.84	 0.58	 0.52	 0.79	
absent  	abvrnt  	 0.67	 0.33	 0.33	 0.67	 0.75	 0.25	 0.31	 0.62	
absent  	absxent 	 0.50	 0.67	 0.67	 1.00	 0.90	 0.75	 0.85	 0.96	
absent  	absmfent	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
absent  	ayxdwt  	 0.33	 0.33	 0.33	 0.33	 0.50	 0.00	 0.00	 0.21	
absent  	qabsent 	 0.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 0.61	
absent  	absentl 	 1.00	 1.00	 1.00	 0.50	 0.88	 1.00	 1.00	 1.00	
absent  	abszzent	 0.50	 0.50	 0.50	 1.00	 0.73	 0.58	 0.75	 0.96	
absurd  	absurd  	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	 1.00	
absurd  	basurd  	 0.67	 0.33	 0.83	 0.67	 0.81	 0.83	 0.83	 0.66	
absurd  	absrud  	 0.67	 1.00	 1.00	 0.67	 0.93	 0.83	 0.80	 0.96	
absurd  	absudr  	 0.67	 0.67	 0.67	 0.67	 0.81	 0.83	 0.83	 0.94	
absurd  	abrusd  	 0.67	 0.67	 0.67	 0.67	 0.82	 0.67	 0.44	 0.91	
absurd  	arsubd  	 0.67	 0.67	 0.67	 0.67	 0.76	 0.42	 0.32	 0.78	
absurd  	asurd   	 0.17	 0.33	 0.83	 0.50	 0.84	 0.67	 0.68	 0.61	
absurd  	absur   	 0.83	 0.83	 0.33	 0.50	 0.75	 0.75	 0.79	 0.71	
absurd  	abrd    	 0.33	 0.33	 0.50	 0.67	 0.57	 0.25	 0.33	 0.57	
absurd  	bausdr  	 0.00	 0.33	 0.33	 0.00	 0.48	 0.67	 0.44	 0.59	
absurd  	urdabs  	 0.00	 0.00	 0.00	 0.00	 0.38	 0.50	 0.73	 0.33	
absurd  	urd     	 0.00	 0.00	 0.33	 0.17	 0.50	 0.25	 0.36	 0.17	
absurd  	sbadru  	 0.33	 0.33	 0.33	 0.33	 0.39	 0.25	 0.18	 0.38	
absurd  	uarbds  	 0.00	 0.00	 0.00	 0.00	 0.31	 0.33	 0.38	 0.46	
absurd  	adrusb  	 0.33	 0.33	 0.33	 0.33	 0.45	 0.08	 0.17	 0.70	
absurd  	qbsurd  	 0.83	 0.00	 0.33	 0.83	 0.75	 0.75	 0.79	 0.30	
absurd  	abslrd  	 0.83	 0.50	 0.50	 0.83	 0.88	 0.58	 0.58	 0.81	
